"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"2","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"3","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","4","41","UnusedImports: Avoid unused imports such as 'android.widget'","Best Practices","UnusedImports"
"4","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","4","41","UnusedImports: Avoid unused imports such as 'android.widget'","Best Practices","UnusedImports"
"5","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","56","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"6","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","56","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"7","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","58","CommentRequired: Field comments are required","Documentation","CommentRequired"
"8","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","58","CommentRequired: Field comments are required","Documentation","CommentRequired"
"9","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","59","CommentRequired: Field comments are required","Documentation","CommentRequired"
"10","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","59","CommentRequired: Field comments are required","Documentation","CommentRequired"
"11","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","59","LongVariable: Avoid excessively long variable names like TAG_FETCH_MAPS_PROGRESS_DIALOG","Code Style","LongVariable"
"12","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","59","LongVariable: Avoid excessively long variable names like TAG_FETCH_MAPS_PROGRESS_DIALOG","Code Style","LongVariable"
"13","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","60","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"14","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","60","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"15","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","60","CommentRequired: Field comments are required","Documentation","CommentRequired"
"16","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","60","CommentRequired: Field comments are required","Documentation","CommentRequired"
"17","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","61","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"18","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","61","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"19","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","61","CommentRequired: Field comments are required","Documentation","CommentRequired"
"20","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","61","CommentRequired: Field comments are required","Documentation","CommentRequired"
"21","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","62","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"22","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","62","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"23","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","62","CommentRequired: Field comments are required","Documentation","CommentRequired"
"24","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","62","CommentRequired: Field comments are required","Documentation","CommentRequired"
"25","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","63","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"26","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","63","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"27","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","63","CommentRequired: Field comments are required","Documentation","CommentRequired"
"28","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","63","CommentRequired: Field comments are required","Documentation","CommentRequired"
"29","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","66","LongVariable: Avoid excessively long variable names like savedInstanceState","Code Style","LongVariable"
"30","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","66","LongVariable: Avoid excessively long variable names like savedInstanceState","Code Style","LongVariable"
"31","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","66","MethodArgumentCouldBeFinal: Parameter 'container' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"32","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","66","MethodArgumentCouldBeFinal: Parameter 'container' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"33","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","66","MethodArgumentCouldBeFinal: Parameter 'inflater' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"34","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","66","MethodArgumentCouldBeFinal: Parameter 'inflater' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"35","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","66","MethodArgumentCouldBeFinal: Parameter 'savedInstanceState' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"36","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","66","MethodArgumentCouldBeFinal: Parameter 'savedInstanceState' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"37","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","67","LocalVariableCouldBeFinal: Local variable 'view' could be declared final","Code Style","LocalVariableCouldBeFinal"
"38","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","67","LocalVariableCouldBeFinal: Local variable 'view' could be declared final","Code Style","LocalVariableCouldBeFinal"
"39","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","69","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"40","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","69","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"41","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","72","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"42","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","72","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"43","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","75","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"44","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","75","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"45","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","75","LocalVariableCouldBeFinal: Local variable 'refreshButton' could be declared final","Code Style","LocalVariableCouldBeFinal"
"46","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","75","LocalVariableCouldBeFinal: Local variable 'refreshButton' could be declared final","Code Style","LocalVariableCouldBeFinal"
"47","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","76","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"48","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","76","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"49","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","89","MethodArgumentCouldBeFinal: Parameter 'view' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"50","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","89","MethodArgumentCouldBeFinal: Parameter 'view' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"51","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","90","SwitchStmtsShouldHaveDefault: Switch statements should have a default label","Best Practices","SwitchStmtsShouldHaveDefault"
"52","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","90","SwitchStmtsShouldHaveDefault: Switch statements should have a default label","Best Practices","SwitchStmtsShouldHaveDefault"
"53","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","90","TooFewBranchesForASwitchStatement: A switch with less than three branches is inefficient, use a if statement instead.","Performance","TooFewBranchesForASwitchStatement"
"54","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","90","TooFewBranchesForASwitchStatement: A switch with less than three branches is inefficient, use a if statement instead.","Performance","TooFewBranchesForASwitchStatement"
"55","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","93","LocalVariableCouldBeFinal: Local variable 'viewHolder' could be declared final","Code Style","LocalVariableCouldBeFinal"
"56","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","93","LocalVariableCouldBeFinal: Local variable 'viewHolder' could be declared final","Code Style","LocalVariableCouldBeFinal"
"57","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","94","LawOfDemeter: Potential violation of Law of Demeter (static property access)","Design","LawOfDemeter"
"58","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","94","LawOfDemeter: Potential violation of Law of Demeter (static property access)","Design","LawOfDemeter"
"59","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","108","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"60","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","108","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"61","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","109","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"62","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","109","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"63","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","5","111","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'webMapItems' (lines '111'-'152').","Error Prone","DataflowAnomalyAnalysis"
"64","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","5","111","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'webMapItems' (lines '111'-'152').","Error Prone","DataflowAnomalyAnalysis"
"65","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","5","111","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'webMapItems' (lines '111'-'152').","Error Prone","DataflowAnomalyAnalysis"
"66","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","5","111","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'webMapItems' (lines '111'-'152').","Error Prone","DataflowAnomalyAnalysis"
"67","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","114","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"68","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","114","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"69","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","114","LocalVariableCouldBeFinal: Local variable 'portal' could be declared final","Code Style","LocalVariableCouldBeFinal"
"70","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","114","LocalVariableCouldBeFinal: Local variable 'portal' could be declared final","Code Style","LocalVariableCouldBeFinal"
"71","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","117","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"72","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","117","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"73","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","117","LocalVariableCouldBeFinal: Local variable 'portalUser' could be declared final","Code Style","LocalVariableCouldBeFinal"
"74","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","117","LocalVariableCouldBeFinal: Local variable 'portalUser' could be declared final","Code Style","LocalVariableCouldBeFinal"
"75","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","119","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"76","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","119","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"77","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","127","ConfusingTernary: Avoid if (x != y) ..; else ..;","Code Style","ConfusingTernary"
"78","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","127","ConfusingTernary: Avoid if (x != y) ..; else ..;","Code Style","ConfusingTernary"
"79","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","127","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"80","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","127","LawOfDemeter: Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"81","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","127","LocalVariableCouldBeFinal: Local variable 'rootItems' could be declared final","Code Style","LocalVariableCouldBeFinal"
"82","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","127","LocalVariableCouldBeFinal: Local variable 'rootItems' could be declared final","Code Style","LocalVariableCouldBeFinal"
"83","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","130","LocalVariableCouldBeFinal: Local variable 'item' could be declared final","Code Style","LocalVariableCouldBeFinal"
"84","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","130","LocalVariableCouldBeFinal: Local variable 'item' could be declared final","Code Style","LocalVariableCouldBeFinal"
"85","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","136","AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes","Best Practices","AccessorMethodGeneration"
"86","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","136","AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes","Best Practices","AccessorMethodGeneration"
"87","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","138","AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes","Best Practices","AccessorMethodGeneration"
"88","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","138","AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes","Best Practices","AccessorMethodGeneration"
"89","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","141","AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes","Best Practices","AccessorMethodGeneration"
"90","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","141","AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes","Best Practices","AccessorMethodGeneration"
"91","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","141","AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes","Best Practices","AccessorMethodGeneration"
"92","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","141","AccessorMethodGeneration: Avoid autogenerated methods to access private fields and methods of inner / outer classes","Best Practices","AccessorMethodGeneration"
"93","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","142","AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"94","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","142","AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"95","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","143","AvoidPrintStackTrace: Avoid printStackTrace(); use a logger call instead.","Best Practices","AvoidPrintStackTrace"
"96","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","143","AvoidPrintStackTrace: Avoid printStackTrace(); use a logger call instead.","Best Practices","AvoidPrintStackTrace"
"97","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","148","AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"98","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","148","AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"99","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","149","AvoidPrintStackTrace: Avoid printStackTrace(); use a logger call instead.","Best Practices","AvoidPrintStackTrace"
"100","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","149","AvoidPrintStackTrace: Avoid printStackTrace(); use a logger call instead.","Best Practices","AvoidPrintStackTrace"
"101","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","178","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"102","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","178","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"103","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","179","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"104","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","179","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"105","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","182","MethodArgumentCouldBeFinal: Parameter 'event' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
